ids X,ids Y,gm X,gm Y,vov X,vov Y,ids X,ids Y,gm X,gm Y,vov X,vov Y,ids X,ids Y,gm X,gm Y,vov X,vov Y
0,1.669823723390663e-06,0,4.082997084059108e-05,0,-0.4372784532264483,0,3.041578528418779e-06,0,7.430203630816665e-05,0,-0.4218620652876782,0,5.203782355595218e-06,0,0.000126979334098519,0,-0.4064456773489068
0.1,1.906073105281614e-05,0.1,0.0004610275587128812,0.1,-0.3372784532264215,0.1,3.456837721471125e-05,0.1,0.0008335748215991828,0.1,-0.3218620652876297,0.1,5.883229274656909e-05,0.1,0.001413428294013412,0.1,-0.3064456773488243
0.2,0.0002062378867911219,0.2,0.004810638274146976,0.2,-0.2372784532261329,0.2,0.0003688508002307539,0.2,0.00851997959350986,0.2,-0.2218620652871144,0.2,0.000617174459154051,0.2,0.01408599513272213,0.2,-0.2064456773479636
0.3,0.001952817259943432,0.3,0.04193110313250849,0.3,-0.1372784532234403,0.3,0.003353213097098256,0.3,0.06963644404558463,0.3,-0.1219115892190789,0.3,0.005340598909273681,0.3,0.1067684086890688,0.3,-0.1065236129194757
0.4,0.01375252167251108,0.4,0.2331250544023474,0.4,-0.03748396065864823,0.4,0.0213364311721843,0.4,0.3336453616036945,0.4,-0.02217711890523166,0.4,0.03038935962741851,0.4,0.4348535575840837,0.4,-0.006889010788694361
0.5,0.0533971582742039,0.5,0.5534621171998,0.5,0.06192397876191841,0.5,0.07367916719975309,0.5,0.6993059170972593,0.5,0.07705058511097584,0.5,0.09372058655888497,0.5,0.8104634278861086,0.5,0.09218789561652946
0.6,0.120037151987024,0.6,0.75502405293512,0.6,0.1609293296824268,0.6,0.15661272282303,0.6,0.9380234266184491,0.6,0.1758279225428472,0.6,0.1876487589175658,0.6,1.047623400177041,0.6,0.1908198892926026
0.7,0.2001755035417283,0.7,0.8292939426996857,0.7,0.2597315428092201,0.7,0.2578413103366737,0.7,1.071749368577488,0.7,0.2743362142644278,0.7,0.2999559527633273,0.7,1.184298303727467,0.7,0.2891848592103116
0.8,0.2826506005480765,0.8,0.8085917054681303,0.8,0.35849115724893,0.8,0.3684390244523794,0.8,1.129095555190829,0.8,0.3727056975521876,0.8,0.4221309324209687,0.8,1.248851117101731,0.8,0.3874059134150225
0.9,0.3598031097823619,0.9,0.7316036411845056,0.9,0.4573192643613868,0.9,0.4817730571589435,0.9,1.129905707256057,0.9,0.4710320168757527,0.9,0.5480552158190921,0.9,1.26275048241363,0.9,0.4855715781073575
1,0.4277743813331172,1,0.6317120502636708,1,0.5562759016934988,1,0.5929742216691045,1,1.089416983040706,1,0.5693837637641376,1,0.6735577408908886,1,1.243029562437595,1,0.5837421594718792
