(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y
0,5.437228585044918e-14,0,2.61982982277093e-14,0,1.052862497043989e-14,0,3.057015992968161e-15,0,4.695050703179648e-16,0,3.170248952665712e-17,0,1.222954062970735e-18
0.05,0.1039922879844679,0.05,0.07994072228692957,0.05,0.05319248956904597,0.05,0.0265191406976023,0.05,0.00731106798706105,0.05,0.00103577158598695,0.05,0.0001078037079018199
0.1,0.1829934363200894,0.1,0.1364889535419374,0.1,0.08672077418564038,0.1,0.04006583094807619,0.1,0.01010585338101962,0.1,0.001385442215602066,0.1,0.0001440301166052204
0.15,0.2411653049937094,0.15,0.1747470700394934,0.15,0.1068128921872038,0.15,0.04758973289713445,0.15,0.01198386236623838,0.15,0.001665780165621747,0.15,0.0001744158488113174
0.2,0.2826506005480765,0.2,0.2001755035417283,0.2,0.120037151987024,0.2,0.0533971582742039,0.2,0.01375252167251108,0.2,0.001952817259943432,0.2,0.0002062378867911219
0.25,0.3120745763556286,0.25,0.2183910810317808,0.25,0.1305112089173713,0.25,0.05867354798511965,0.25,0.01554161697807578,0.25,0.002259911659964737,0.25,0.0002409096967104389
0.3,0.3342243191709431,0.3,0.2331028662543299,0.3,0.1397697218915005,0.3,0.06374050883275637,0.3,0.01739105330973399,0.3,0.002593016281257465,0.3,0.0002791761864675803
0.35,0.3524425236778256,0.35,0.2460029628993602,0.35,0.1483842606875568,0.35,0.06872244969224207,0.35,0.0193192411292158,0.35,0.002956285037759722,0.35,0.0003216349579002022
0.4,0.3684390244523794,0.4,0.2578413103366737,0.4,0.15661272282303,0.4,0.07367916719975309,0.4,0.0213364311721843,0.4,0.003353213097098256,0.4,0.0003688508002307539
0.45,0.3830503643308351,0.45,0.2689889533446057,0.45,0.1645897657764822,0.45,0.07864276387305991,0.45,0.02344885715144407,0.45,0.003787024272504504,0.45,0.0004213957219470535
0.5,0.3967172178598186,0.5,0.279650099379908,0.5,0.1723927406970111,0.5,0.0836313967649901,0.5,0.0256604190255817,0.5,0.004260824587153707,0.5,0.0004798676257809274
0.55,0.4096922414285457,0.55,0.2899466547305456,0.55,0.180068990639474,0.55,0.08865543608542202,0.55,0.02797349123234358,0.55,0.004777670533198525,0.55,0.0005449010515397751
0.6,0.4221309324209687,0.6,0.2999559527633273,0.6,0.1876487589175658,0.6,0.09372058655888497,0.6,0.03038935962741851,0.6,0.005340598909273681,0.6,0.000617174459154051
0.65,0.4341345564844366,0.65,0.3097293766556093,0.65,0.1951519231792107,0.65,0.0988296167123662,0.65,0.03290848140272872,0.65,0.005952636942430982,0.65,0.0006974158278264374
0.7,0.4457721347804258,0.7,0.3193023348710294,0.7,0.2025917821679749,0.7,0.1039833843520693,0.7,0.03553065338092502,0.7,0.006616801212544497,0.7,0.0007864073619851501
0.75,0.4570925237792047,0.75,0.3286999678524345,0.75,0.2099773145708754,0.75,0.1091814784588819,0.75,0.03825512986768057,0.75,0.007336089691834612,0.75,0.0008849896813008691
0.8,0.4681314519640266,0.8,0.3379405914273976,0.8,0.2173145919302462,0.8,0.1144226390771957,0.8,0.04108071129941657,0.8,0.008113469304705894,0.8,0.000994065678849119
