Cgd X,Cgd Y
1,3.641067495638865e-16
2,3.63734099706761e-16
3,3.63550388441662e-16
4,3.634387830564299e-16
5,3.633629255607752e-16
6,3.633075991370723e-16
7,3.632652419854308e-16
8,3.632316438837783e-16
9,3.632042627627822e-16
10,3.631814664696144e-16
11,3.631621567337987e-16
12,3.631455652101448e-16
13,3.63131137289928e-16
14,3.631184621703793e-16
15,3.631072279816591e-16
16,3.630971943100591e-16
17,3.630881721431426e-16
18,3.630800110134375e-16
19,3.630725888461502e-16
20,3.630658064458162e-16
