Cgs X,Cgs Y
1,1.343672803691457e-15
2,1.154538660086089e-15
3,1.281377149672787e-15
4,1.249904289480935e-15
5,1.268994209525488e-15
6,1.218451007823204e-15
7,1.317939923081824e-15
8,1.321374548710301e-15
9,1.324047173463269e-15
10,1.326186164662016e-15
11,1.293423504870438e-15
12,1.297759073367224e-15
13,1.301428020264705e-15
14,1.304573140221908e-15
15,1.281989332006495e-15
16,1.285956667258946e-15
17,1.300623526672247e-15
18,1.292569353190321e-15
19,1.325325993752622e-15
20,1.30735114533953e-15
