(OP("/M0" "ids") * 500) (vds=0.2) X,(OP("/M0" "ids") * 500) (vds=0.2) Y,(OP("/M0" "ids") * 500) (vds=0.3) X,(OP("/M0" "ids") * 500) (vds=0.3) Y,(OP("/M0" "ids") * 500) (vds=0.4) X,(OP("/M0" "ids") * 500) (vds=0.4) Y,(OP("/M0" "ids") * 500) (vds=0.5) X,(OP("/M0" "ids") * 500) (vds=0.5) Y,(OP("/M0" "ids") * 500) (vds=0.6) X,(OP("/M0" "ids") * 500) (vds=0.6) Y,(OP("/M0" "ids") * 500) (vds=0.7) X,(OP("/M0" "ids") * 500) (vds=0.7) Y,(OP("/M0" "ids") * 500) (vds=0.8) X,(OP("/M0" "ids") * 500) (vds=0.8) Y
0,1.669823723390663e-06,0,2.280105028184359e-06,0,3.041578528418779e-06,0,3.99915342370535e-06,0,5.203782355595218e-06,0,6.716374165618603e-06,0,8.610728649749581e-06
0.1,1.906073105281614e-05,0.1,2.597312362871667e-05,0.1,3.456837721471125e-05,0.1,4.533780272851574e-05,0.1,5.883229274656909e-05,0.1,7.570356306863413e-05,0.1,9.673288835053699e-05
0.2,0.0002062378867911219,0.2,0.0002791761864675803,0.2,0.0003688508002307539,0.2,0.0004798676257809274,0.2,0.000617174459154051,0.2,0.0007864073619851501,0.2,0.000994065678849119
0.3,0.001952817259943432,0.3,0.002593016281257465,0.3,0.003353213097098256,0.3,0.004260824587153707,0.3,0.005340598909273681,0.3,0.006616801212544497,0.3,0.008113469304705894
0.4,0.01375252167251108,0.4,0.01739105330973399,0.4,0.0213364311721843,0.4,0.0256604190255817,0.4,0.03038935962741851,0.4,0.03553065338092502,0.4,0.04108071129941657
0.5,0.0533971582742039,0.5,0.06374050883275637,0.5,0.07367916719975309,0.5,0.0836313967649901,0.5,0.09372058655888497,0.5,0.1039833843520693,0.5,0.1144226390771957
0.6,0.120037151987024,0.6,0.1397697218915005,0.6,0.15661272282303,0.6,0.1723927406970111,0.6,0.1876487589175658,0.6,0.2025917821679749,0.6,0.2173145919302462
0.7,0.2001755035417283,0.7,0.2331028662543299,0.7,0.2578413103366737,0.7,0.279650099379908,0.7,0.2999559527633273,0.7,0.3193023348710294,0.7,0.3379405914273976
0.8,0.2826506005480765,0.8,0.3342243191709431,0.8,0.3684390244523794,0.8,0.3967172178598186,0.8,0.4221309324209687,0.8,0.4457721347804258,0.8,0.4681314519640266
0.9,0.3598031097823619,0.9,0.4356195520643396,0.9,0.4817730571589435,0.9,0.517287321075227,0.9,0.5480552158190921,0.9,0.5760378123534321,0.9,0.6020722189640221
1,0.4277743813331172,1,0.5313812316908625,1,0.5929742216691045,1,0.6369607426410597,1,0.6735577408908886,1,0.7060868650844855,1,0.7358852426087102
