(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y,(OP("/M0" "ids") * 500) X,(OP("/M0" "ids") * 500) Y
0,7.693563466177575e-17,0,4.484186768988007e-15,0,7.973869396168092e-14,0,4.675934443053511e-13,0,1.609285871971707e-12,0,0,0,0
0.05,0.0004740750230603416,0.05,0.006277968663834535,0.05,0.02828431473367994,0.05,0.06208233221220719,0.05,0.09965109857318537,0.05,7.419959899770772e-07,0.05,7.419984663290264e-07
0.1,0.0005315035065320235,0.1,0.007518285641184931,0.1,0.04108080763839764,0.1,0.1034615242825804,0.1,0.1768678205852893,0.1,8.272064135276621e-07,0.1,8.27209174287072e-07
0.15,0.0005500296736065105,0.15,0.007815505144244709,0.15,0.04486781056909837,0.15,0.1262513419543927,0.15,0.2325841128816782,0.15,8.55999053606913e-07,0.15,8.560019104602853e-07
0.2,0.0005637911126962914,0.2,0.007995652986043279,0.2,0.04619985872173407,0.2,0.1358775675621999,0.2,0.2683724826841167,0.2,8.778041540322644e-07,0.2,8.778070836567914e-07
0.25,0.0005762419372770744,0.25,0.008148359306215889,0.25,0.04704205447035908,0.25,0.1398818136987214,0.25,0.2877833089103758,0.25,8.976545357967801e-07,0.25,8.976575316682217e-07
0.3,0.0005880892117638306,0.3,0.00828980641294674,0.3,0.04774237952740212,0.3,0.1422770008825675,0.3,0.2972603329879567,0.3,9.16595235635252e-07,0.3,9.165982947174295e-07
0.35,0.0005995490737275034,0.35,0.008424540520903601,0.35,0.04837835419755047,0.35,0.1441654573796207,0.35,0.3026631772212673,0.35,9.349482427567371e-07,0.35,9.349513630881706e-07
0.4,0.0006107052235017211,0.4,0.008554246432049262,0.4,0.04897386883995463,0.4,0.145829239879233,0.4,0.3066190902284019,0.4,9.528385624078112e-07,0.4,9.528417424442518e-07
0.45,0.0006215955336494567,0.45,0.00867967889631371,0.45,0.04953833613568498,0.45,0.1473570810476635,0.45,0.3099610928557915,0.45,9.703225993149622e-07,0.45,9.703258377004171e-07
0.5,0.0006322392656770599,0.5,0.00880122983564127,0.5,0.05007623218790196,0.5,0.1487837405754914,0.5,0.3129598212579935,0.5,9.874287933799468e-07,0.5,9.874320888533544e-07
0.55,0.0006426473097189573,0.55,0.008919131274499259,0.55,0.05059004797938884,0.55,0.1501256212947134,0.55,0.3157186097919095,0.55,1.004172990199379e-06,0.55,1.004176341552561e-06
0.6,0.0006528265735803863,0.6,0.009033539035871294,0.6,0.05108137774114625,0.6,0.1513918124944108,0.6,0.3182843772163879,0.6,1.020565056623299e-06,0.6,1.020568462681018e-06
0.65,0.0006627820557032291,0.65,0.0091445711089703,0.65,0.05155137649160116,0.65,0.1525881212797282,0.65,0.3206821129179106,0.65,1.036612015428019e-06,0.65,1.036615475038492e-06
0.7,0.0006725178970957374,0.7,0.009252326681330268,0.7,0.05200097241778572,0.7,0.1537187458334273,0.7,0.3229271939349356,0.7,1.052319639961077e-06,0.7,1.052323151991764e-06
0.75,0.0006820379424958177,0.75,0.009356896131421173,0.75,0.05243097309522676,0.75,0.1547870427935069,0.75,0.3250303637250666,0.75,1.067693306289795e-06,0.75,1.067696869626117e-06
0.8,0.0006913460482407664,0.8,0.009458366467637827,0.8,0.05284212156190778,0.8,0.1557959072657992,0.8,0.3269999599158604,0.8,1.082738461073381e-06,0.8,1.08274207461894e-06
