lambda X,lambda Y,intrinsic_gain X,intrinsic_gain Y
5.999999999999999e-08,2.883891862097172,5.999999999999999e-08,7.850622464106948
9e-08,0.7075903450032656,9e-08,18.65552078757542
1.2e-07,0.4215569165759494,1.2e-07,27.68215434372932
1.5e-07,0.3384124005494374,1.5e-07,32.79340357646545
1.8e-07,0.3057254814060434,1.8e-07,35.33376883947325
2.1e-07,0.2915433281210651,2.1e-07,36.43675242454404
2.4e-07,0.2849858073130601,2.4e-07,36.84337712291624
2.7e-07,0.2640953927926925,2.7e-07,39.34526899125424
3e-07,0.2482813656504217,3e-07,41.49646936171377
3.3e-07,0.2357648875225668,3.3e-07,43.38532241780179
3.6e-07,0.2255361381843918,3.6e-07,45.06954016410984
3.9e-07,0.2169757895587955,3.9e-07,46.58860162487311
4.2e-07,0.2096784985090869,4.2e-07,47.97100270789714
4.5e-07,0.2033648420559411,4.5e-07,49.23831450041788
4.8e-07,0.1978342827302831,4.8e-07,50.40747219991647
5.1e-07,0.1929383396576982,5.1e-07,51.49212020486635
5.4e-07,0.1885643441474595,5.4e-07,52.50345184643629
5.7e-07,0.1846250887564303,5.7e-07,53.45076896635437
6e-07,0.1810519491489405,6e-07,54.3418770966638
6.3e-07,0.1777901564503805,6.3e-07,55.18337745083855
6.6e-07,0.1747954578825491,6.6e-07,55.98088978872283
6.9e-07,0.1720317047366542,6.9e-07,56.73922639793601
7.2e-07,0.1694690772814704,7.2e-07,57.46253007856629
7.5e-07,0.1670827573107092,7.5e-07,58.15438485374533
7.8e-07,0.1648519214229254,7.8e-07,58.81790560167157
8.1e-07,0.1627589679456115,8.1e-07,59.45581116612701
8.4e-07,0.1607889165521851,8.4e-07,60.07048437999413
8.7e-07,0.1589289371848581,8.7e-07,60.66402163475266
9e-07,0.1571679769368365,9e-07,61.23827403959891
