lambda_X,lambda_Y,intrinsic_gain_X,intrinsic_gain_Y
6.0E-08,3.375304043048262,6.0E-08,7.95426549429149
9.0E-08,0.7431932943500209,9.0E-08,19.14622867080437
1.2E-07,0.434180743580576,1.2E-07,28.51346904672576
1.5E-07,0.346826519568162,1.5E-07,33.70664262276252
1.8E-07,0.3127238566560064,1.8E-07,36.21584830939956
2.1E-07,0.2979195613780742,2.1E-07,37.24936371757492
2.4E-07,0.2909987990961396,2.4E-07,37.58330370153766
2.7E-07,0.2688820243532972,2.7E-07,40.12950841084594
3.0E-07,0.2522054070475405,3.0E-07,42.31265380951632
3.3E-07,0.2390518167264785,3.3E-07,44.22444350515042
3.6E-07,0.2283355997494705,3.6E-07,45.92481229030443
3.9E-07,0.2193922593619294,3.9E-07,47.45477407468496
4.2E-07,0.2117877444864075,4.2E-07,48.84393920111883
4.5E-07,0.2052234473571542,4.5E-07,50.11472263093973
4.8E-07,0.1994855015538018,4.8E-07,51.28471764879887
5.1E-07,0.1944158774827868,5.1E-07,52.36809152608188
5.4E-07,0.1898948942302610,5.4E-07,53.37645777086058
5.7E-07,0.1858300877749832,5.7E-07,54.31945821817762
6.0E-07,0.1821488237060392,6.0E-07,55.20517472606097
6.3E-07,0.1787932271820205,6.3E-07,56.04043376510414
6.6E-07,0.1757166073308830,6.6E-07,56.83103912463292
6.9E-07,0.1728808786581505,6.9E-07,57.58195368971604
7.2E-07,0.1702546662943727,7.2E-07,58.29744365304859
7.5E-07,0.1678118911529286,7.5E-07,58.98119422704679
7.8E-07,0.1655306984470219,7.8E-07,59.63640330909292
8.1E-07,0.1633926359821183,8.1E-07,60.26585785530203
8.4E-07,0.1613820168146337,8.4E-07,60.87199655233916
8.7E-07,0.1594854197786785,8.7E-07,61.45696154240105
9.0E-07,0.1576912943300723,9.0E-07,62.02264134168933
